mint,symbol,discovered,on_chain_verified,market_data_valid,security_pass,liquidity_pass,whale_pass,smart_money_pass,momentum_pass,anti_chase_pass,final_score_pass,sniper_candidate,alpha_score,risk_score,final_score,recommendation,rejection_reason
A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,FWOG,True,True,True,True,True,False,False,True,True,False,False,50.0,40.0,49.5,REJECT,"Alpha/Risk Gate: Alpha=50.0 (min 70.0), Risk=40.0 (max 35.0), Rec=REJECT"
ED5nyyWEZyPPVukJ69AmUMuxqw5bFiqNxTHPRdfGpump,MOODENG,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-3,200 (min $20k)"
CBdCxKo9QavR9hfgygpRBgpfD4kdyeEU3qyDC9kiLL9m,POPCAT,True,True,True,True,True,False,False,False,True,False,False,53.0,25.0,54.6,REJECT,"Sub-threshold Signals: Alpha=53.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+12,000 (min $20k)"
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT2,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (7GCihg...), Top 10 holder concentration 78.5% (> 70% limit), LP unbonded/unlocked (0.0%)"
5LafQUrVpc4oUdLEyZqM39TE58LK5Euhxma8uR4Zpump,CHILLGUY,True,True,True,True,True,False,False,True,True,False,False,50.0,25.0,53.2,REJECT,"Alpha/Risk Gate: Alpha=50.0 (min 70.0), Risk=25.0 (max 35.0), Rec=REJECT"
HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,AI16Z,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-1,800 (min $20k)"
Df6yfrKC8kZE3KNV4qnsXnMTWjbEWDTUMBg3i7Tmx3pv,GRIFFA,True,True,True,True,True,False,False,False,True,False,False,50.0,40.0,49.5,REJECT,"Sub-threshold Signals: Alpha=50.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+500 (min $20k)"
3B5wuNYydKfBczsM7v51pE9Z3vURe1v13K5xXqBtpump,PUPPY,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (3B5wu....), Active Freeze Authority (3B5wu....) [Honeypot risk], Top 10 holder concentration 89.2% (> 70% limit), LP unbonded/unlocked (0.0%)"
9gq8T4uU3h2sL8jY1v3pQ7wK2eM6nB8xR4tY5zP9pump,MOONCAT,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Freeze Authority (9gq8T....) [Honeypot risk], Top 10 holder concentration 92.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
8wXyZ1aB2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t,SAFEPEPE,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Top 10 holder concentration 74.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,True,True,True,True,True,False,False,False,True,False,False,53.0,25.0,54.6,REJECT,"Sub-threshold Signals: Alpha=53.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+15,000 (min $20k)"
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,True,True,True,True,True,False,False,False,True,False,False,53.0,25.0,54.6,REJECT,"Sub-threshold Signals: Alpha=53.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+18,500 (min $20k)"
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-4,000 (min $20k)"
MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+0 (min $20k)"
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH(W),True,True,True,True,True,True,False,False,True,False,False,53.0,25.0,54.6,REJECT,Mature Lifecycle: Token age (200000 min) exceeds sniper earlyness window; Alpha (53.0) < 70
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,WBTC,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-8,000 (min $20k)"
11111111111111111111111111111111111111111111,SYSTEM_DUMMY,True,True,False,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (SYS...), Active Freeze Authority (SYS...) [Honeypot risk], Top 10 holder concentration 100.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,True,True,True,False,True,False,False,False,True,False,False,45.0,90.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (USDC_A...), Active Freeze Authority (USDC_F...) [Honeypot risk]"
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,True,True,True,False,True,False,False,False,True,False,False,45.0,90.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (USDT_A...), Active Freeze Authority (USDT_F...) [Honeypot risk]"
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+5,000 (min $20k)"
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,True,True,True,True,True,False,False,False,True,False,False,45.0,25.0,51.0,REJECT,"Sub-threshold Signals: Alpha=45.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$-1,000 (min $20k)"
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,JITOSOL,True,True,True,True,True,False,False,False,True,False,False,53.0,25.0,54.6,REJECT,"Sub-threshold Signals: Alpha=53.0 (min 70), SmartScore=50.0 (min 78), WhaleNetflow=$+14,000 (min $20k)"
2b1kV6ebUAKGtvJY5yjFzgSmP8RzxvTSxLjR9LkKpump,DOGGO,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (2b1kV....), Top 10 holder concentration 88.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
5pM9gTYzL3uQvK8wE1rT4yU7iO2pA5sD8fG1hJ3kL5pump,CATMEME,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Freeze Authority (5pM9g....) [Honeypot risk], Top 10 holder concentration 91.5% (> 70% limit), LP unbonded/unlocked (0.0%)"
7qR8tY5uI2oP4aS6dF8gH1jK3lM5nB7vC9xZ1aB3c5pump,FROGGY,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (7qR8t....), Active Freeze Authority (7qR8t....) [Honeypot risk], Top 10 holder concentration 85.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
9wE1rT4yU7iO2pA5sD8fG1hJ3kL5nB7vC9xZ1aB3c5pump,SOLAPE,True,True,True,True,False,False,False,False,True,False,False,50.0,70.0,42.0,REJECT,"Low Pool Liquidity ($8,900 < $10,000 threshold)"
1aB3c5d7e9f1g3h5i7j9k1l3m5n7o9p1q3r5s7t9u1pump,BABYPEPE,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (1aB3c....), Top 10 holder concentration 94.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
3c5d7e9f1g3h5i7j9k1l3m5n7o9p1q3r5s7t9u1v3pump,PUMPKIN,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Freeze Authority (3c5d7....) [Honeypot risk], Top 10 holder concentration 96.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
5e7g9i1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5pump,TURBOSOL,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (5e7g9....), Active Freeze Authority (5e7g9....) [Honeypot risk], Top 10 holder concentration 89.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
7g9i1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5s7pump,ROCKETCOIN,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (7g9i1....), Top 10 holder concentration 91.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
9i1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5s7u9pump,GEMINI,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Freeze Authority (9i1k3....) [Honeypot risk], Top 10 holder concentration 87.5% (> 70% limit), LP unbonded/unlocked (0.0%)"
1k3m5o7q9s1u3w5y7a9c1e3g5i7k9m1o3q5s7u9w1pump,NINJA,True,True,True,False,False,False,False,False,True,False,False,50.0,120.0,20.0,REJECT,"Security Hard Reject: Active Mint Authority (1k3m5....), Active Freeze Authority (1k3m5....) [Honeypot risk], Top 10 holder concentration 93.0% (> 70% limit), LP unbonded/unlocked (0.0%)"
